pattern,mu,min_fraction,max_fraction
mEmC_2,0.6356954897959184,0.0,0.46815514641256983
mEmC_2,0.6562017959183674,0.0,0.44609583613335846
mEmC_2,0.6767081020408163,0.0,0.42363896026889214
mEmC_2,0.6972144081632653,0.0,0.4007736733535513
mEmC_2,0.7177207142857143,0.0,0.377488731821091
mEmC_2,0.7382270204081632,0.0,0.3537724755681203
mEmC_2,0.7587333265306122,0.0,0.3296128084855412
mEmC_2,0.7792396326530613,0.0,0.30499717788579217
mEmC_2,0.7997459387755103,0.0,0.2799125527571641
mEmC_2,0.8202522448979592,0.0,0.2543454007578734
mEmC_2,0.8407585510204082,0.0,0.22828166387715088
mEmC_2,0.8612648571428572,0.0,0.20170673265640637
mEmC_2,0.8817711632653061,0.0,0.17460541888391945
mEmC_2,0.9022774693877551,0.0,0.1469619266504163
mEmC_2,0.9227837755102041,0.0,0.11875982164477361
mEmC_2,0.943290081632653,0.0,0.08998199857781886
mEmC_2,0.963796387755102,0.0,0.06061064658104154
mEmC_2,0.984302693877551,0.0,0.030627212451984076
mEmC_2,1.004809,0.0,1.2361566459739062e-05
mEmC_3,0.0,0.0,1.0
mEmC_3,0.01367087755102041,0.0,0.986443634990951
mEmC_3,0.02734175510204082,0.0,0.9726962974169091
mEmC_3,0.04101263265306123,0.0,0.9587539232198932
mEmC_3,0.05468351020408164,0.0,0.9446123322056907
mEmC_3,0.06835438775510205,0.0,0.9302672238589882
mEmC_3,0.08202526530612246,0.0,0.9157141729873339
mEmC_3,0.09569614285714287,0.0,0.9009486251693551
mEmC_3,0.10936702040816328,0.0,0.8859658920026644
mEmC_3,0.12303789795918368,0.0,0.8707611461394167
mEmC_3,0.1367087755102041,0.0,0.8553294161028787
mEmC_3,0.1503796530612245,0.0,0.8396655808646094
mEmC_3,0.16405053061224492,0.0,0.8237643641827681
mEmC_3,0.17772140816326532,0.0,0.8076203286717539
mEmC_3,0.19139228571428574,0.0,0.7912278696076387
mEmC_3,0.20506316326530613,0.0,0.7745812084378892
mEmC_3,0.21873404081632655,0.0,0.7576743859907856
mEmC_3,0.23240491836734697,0.0,0.7405012553619332
mEmC_3,0.24607579591836737,0.0,0.7230554744631743
mEmC_3,0.2597466734693878,0.0,0.7053304982156852
mEmC_3,0.2734175510204082,0.0,0.6873195703605237
mEmC_3,0.2870884285714286,0.0,0.6690157148695701
mEmC_3,0.300759306122449,0.0,0.6504117269447347
mEmC_3,0.3144301836734694,0.0,0.6315001635547757
mEmC_3,0.32810106122448984,0.0,0.6122733335068535
mEmC_3,0.34177193877551026,0.0,0.5927232870270905
mEmC_3,0.35544281632653063,0.0,0.5728418047839665
mEmC_3,0.36911369387755105,0.0,0.5526203863819714
mEmC_3,0.3827845714285715,0.0,0.5320502382338772
mEmC_3,0.3964554489795919,0.0,0.5111222608179293
mEmC_3,0.41012632653061226,0.0,0.48982703524686055
mEmC_3,0.4237972040816327,0.0,0.468154809141785
mEmC_3,0.4374680816326531,0.0,0.44609548173580416
mEmC_3,0.4511389591836735,0.0,0.4236385881806952
mEmC_3,0.46480983673469395,0.0,0.4007732829862275
mEmC_3,0.4784807142857143,0.0,0.37748832256300024
mEmC_3,0.49215159183673474,0.0,0.35377204678349217
mEmC_3,0.5058224693877551,0.0,0.32961235951289924
mEmC_3,0.5194933469387756,0.0,0.30499670803478485
mEmC_3,0.533164224489796,0.0,0.2799120613105538
mEmC_3,0.5468351020408164,0.0,0.2543448869676622
mEmC_3,0.5605059795918368,0.0,0.22828112696365221
mEmC_3,0.5741768571428572,0.0,0.20170617180682882
mEmC_3,0.5878477346938776,0.0,0.17460483325127496
mEmC_3,0.601518612244898,0.0,0.14696131534936363
mEmC_3,0.6151894897959185,0.0,0.11875918375346062
mEmC_3,0.6288603673469388,0.0,0.08998133313113199
mEmC_3,0.6425312448979592,0.0,0.060609952574604886
mEmC_3,0.6562021224489797,0.0,0.030626488831685506
mEmC_3,0.669873,0.0,1.1607233343702283e-05
mEmC_4,0.0,0.0,1.0
mEmC_4,0.019004,0.0,0.9816298546647948
mEmC_4,0.038008,0.0,0.963922459001089
mEmC_4,0.057012,0.0,0.9468425829481768
mEmC_4,0.076016,0.0,0.9303574499566019
