,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
70,0.0,0.0,0.2923698992652395,-9.498201955916044e-06,0.0,0.0,2.146077590837916,13.28211551375962,-2.016465397223704,0.0,6.785783222699096,-9.476732015351713,0.0,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.0,0.27935888105635276,1.0,-10.0
71,0.0,0.0,0.9286191342255039,-9.498201955916069e-06,0.0,0.0,1.128078814901499,16.46336168856097,-2.2709650912078128,0.0,6.022284140746796,-11.003730179256369,0.0,3.9777158592532342,-0.26019625861029405,0.0,0.0,-0.06983888218744196,0.0,0.27935888105635415,1.0,-10.0
72,0.0,0.0,0.5468695932493475,-9.49820195591607e-06,0.0,0.0,1.1280788149015002,15.318113065632495,-2.2709650912078136,0.0,6.404033681722955,-10.240231097304052,0.0,3.5959663182770747,-0.2601962586102916,0.0,0.3817495409761569,-0.06983888218744377,0.0,0.27935888105635176,1.0,-10.0
82,0.0,0.0,0.5468695932493475,-9.49820195591607e-06,0.0,0.0,8.830552098376911,11.466876423894792,-2.2709650912078136,0.0,2.552797039985247,-10.240231097304052,0.0,3.5959663182770747,-0.2601962586102916,0.0,0.3817495409761569,-0.06983888218744377,0.0,0.27935888105635176,1.0,-10.0
91,0.0,0.0,0.5468695932493457,-9.498201955916045e-06,0.0,0.7634990819523128,8.067053016424575,14.139123210727867,-2.2709650912078088,0.0,1.7892979580329251,-11.767229261208659,0.0,3.977715859253227,-0.2601962586102936,0.0,0.0,-0.06983888218744529,0.0,0.27935888105635176,1.0,-10.0
100,0.0,0.0,0.9286191342255039,-9.498201955916069e-06,0.0,0.0,8.830552098376913,12.612125046823264,-2.2709650912078128,0.0,2.171047499009087,-11.003730179256369,0.0,3.9777158592532342,-0.26019625861029405,0.0,0.0,-0.06983888218744196,0.0,0.27935888105635415,1.0,-10.0
103,0.0,0.0,0.2923698992652395,-9.498201955916044e-06,0.0,0.0,9.085051792360995,9.81262841299808,-2.016465397223704,0.0,3.316296121937558,-9.476732015351713,0.0,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.0,0.27935888105635276,1.0,-10.0
106,0.0,6.431699960572467,0.8297058984673795,-9.498201955916045e-06,0.0,0.0,0.0,3.105395588625387,-7.376759765362531,0.0,10.000000000000007,-3.048298460749889,0.0,0.0,-0.26019625861029283,0.0,0.0,-0.06983888218744434,0.0,0.2793588810563528,1.0,-10.0
107,0.0,1.1280788149014962,1.4926585416762534,-9.498201955916054e-06,0.0,0.0,0.0,17.02740109601169,-3.399043906109306,0.0,6.022284140746785,-11.003730179256348,0.0,3.977715859253229,-0.2601962586102907,0.0,0.0,-0.06983888218744422,0.0,0.2793588810563537,1.0,-10.0
117,0.0,0.0,1.4926585416762546,-9.49820195591606e-06,0.0,0.0,0.0,21.53971635561771,-1.7069256837570619,0.0,4.894205325845288,-13.259887809059363,-0.5640394074507493,5.105794674154732,-0.2601962586102932,0.0,0.0,-0.06983888218744538,0.0,0.2793588810563544,1.0,-10.0
121,0.0,0.0,1.4926585416762546,-9.49820195591606e-06,0.0,0.0,0.0,21.53971635561771,-2.270965091207811,0.0,3.7661265109437894,-13.259887809059363,0.0,5.105794674154732,-0.2601962586102932,0.0,0.0,-0.06983888218744538,1.1280788149014986,0.2793588810563544,1.0,-10.0
123,0.5640394074507463,0.0,0.5468695932493426,-9.498201955916035e-06,0.0,0.0,0.0,17.01023128798469,-2.2709650912078065,0.0,6.122013977997556,-10.804270504754765,0.0,3.8779860220024394,-0.2601962586102899,0.0,0.66376924470153,-0.06983888218744098,0.0,0.2793588810563514,1.0,-10.0
124,0.5640394074507458,0.0,1.2106388379508806,-9.498201955916057e-06,0.0,0.0,0.0,19.001539022089332,-2.2709650912078096,0.0,5.458244733296041,-12.13180899415786,0.0,4.541755266703983,-0.26019625861028983,0.0,0.0,-0.06983888218744405,0.0,0.27935888105635176,1.0,-10.0
154,0.0,0.0,0.5468695932493466,-9.49820195591606e-06,0.0,0.0,0.0,27.236977929122297,0.0,0.0,2.4261429067580744,-14.782161279719666,-2.270965091207812,5.8669314094848835,-0.2601962586102925,0.0,2.652714632183967,-0.06983888218744436,0.0,0.27935888105635126,1.0,-10.0
165,0.0,0.0,0.0,-9.498201955916047e-06,0.0,0.0,0.0,21.221412403379446,0.0,0.0,5.433925669629478,-12.047813313472917,-1.7240954979584584,4.499757426361509,-0.26019625861029083,0.0,1.2855406490606005,-0.06983888218744463,0.0,0.2793588810563541,1.0,-10.0
177,0.0,0.0,0.0,-9.498201955916047e-06,0.0,0.0,9.377421691626239,16.53270155756633,0.0,0.0,0.745214823816354,-12.047813313472917,-1.7240954979584584,4.499757426361509,-0.26019625861029083,0.0,1.2855406490606005,-0.06983888218744463,0.0,0.2793588810563541,1.0,-10.0
181,0.0,5.966085574241248,0.0,-9.498201955916067e-06,0.0,0.0,9.377421691626258,0.0,-7.482800213482147,0.0,3.7786441022981534,-3.048298460749896,-0.20738085871756595,0.0,-0.26019625861029355,0.0,2.7518687969403284,-0.06983888218744314,0.0,0.27935888105635337,1.0,-10.0
197,0.0,0.0,0.0,-9.49820195591606e-06,0.0,2.5710812981212015,0.0,28.934656297743093,0.0,0.0,1.577303722447674,-17.18997590971534,-1.7240954979584624,5.785298075422122,-0.26019625861029405,0.0,0.0,-0.06983888218744384,0.0,0.27935888105635404,1.0,-10.0
202,0.0,5.758704715523676,0.0,-9.498201955916059e-06,0.0,0.20738085871756878,9.17004083290868,0.0,-7.4828002134821405,0.0,3.9860249610157195,-3.2556793194674603,0.0,0.0,-0.26019625861029244,0.0,2.3371070795051896,-0.06983888218744434,0.0,0.27935888105635437,1.0,-10.0
205,0.0,5.758704715523679,0.0,-9.498201955916062e-06,0.0,0.9864165518859656,9.170040832908686,0.0,-6.703764520313748,0.0,4.765060654184117,-4.034715012635859,0.0,0.0,-0.26019625861029155,0.0,0.0,-0.069838882187443,0.0,0.2793588810563547,1.0,-10.0
207,0.0,0.0,0.5468695932493448,-9.498201955916074e-06,0.0,0.0,0.0,18.702349510337008,-1.7069256837570648,0.0,5.8399942742722075,-11.368309912205559,-0.564039407450749,4.160005725727829,-0.2601962586102939,0.0,0.9457889484269082,-0.06983888218744368,0.0,0.2793588810563511,1.0,-10.0
208,0.0,0.0,0.0,-9.498201955916052e-06,0.0,0.0,0.0,20.889827883334355,-0.06631690400901823,0.0,5.566559477647521,-11.91517950545488,-1.6577785939494412,4.433440522352493,-0.2601962586102934,0.0,1.21922374505158,-0.06983888218744544,0.0,0.27935888105635404,1.0,-10.0
210,0.0,0.0,0.5468695932493448,-9.498201955916074e-06,0.0,0.0,0.0,18.702349510337008,-2.2709650912078136,0.0,4.711915459370704,-11.368309912205559,0.0,4.160005725727829,-0.2601962586102939,0.0,0.9457889484269082,-0.06983888218744368,1.128078814901498,0.2793588810563511,1.0,-10.0
214,0.0,0.0,0.0,-9.498201955916052e-06,0.0,0.0,0.0,20.889827883334355,-1.724095497958464,0.0,2.2510022897486346,-11.91517950545488,0.0,4.433440522352493,-0.2601962586102934,0.0,1.21922374505158,-0.06983888218744544,3.3155571878988868,0.27935888105635404,1.0,-10.0
216,0.0,0.0,0.0,-9.49820195591606e-06,0.0,0.812815830034388,0.0,19.2641962232656,-0.8791327340434073,0.0,5.972967392664721,-11.91517950545489,-0.8449627639150524,4.027032607335301,-0.26019625861029,0.0,0.0,-0.06983888218744386,0.0,0.2793588810563524,1.0,-10.0
217,0.0,0.0,0.5468695932493448,-9.498201955916047e-06,0.0,0.5640394074507454,0.0,17.57427069543546,-2.270965091207809,0.0,6.122013977997563,-11.368309912205529,0.0,3.8779860220024447,-0.26019625861028994,0.0,0.0997298372507813,-0.06983888218744297,0.0,0.27935888105635076,1.0,-10.0
218,0.0,0.0,0.5069776583490321,-9.498201955916039e-06,0.0,0.6438232772513725,0.0,17.57427069543544,-2.231073156307492,0.0,6.141959945447713,-11.408201847105826,0.0,3.858040054552282,-0.2601962586102903,0.0,0.0,-0.06983888218744207,0.0,0.27935888105635215,1.0,-10.0
219,0.0,0.0,0.6465994305001304,-9.49820195591607e-06,0.0,0.5640394074507467,0.0,17.873460207187854,-2.2709650912078145,0.0,6.0222841407467955,-11.567769586707124,0.0,3.9777158592532356,-0.2601962586102928,0.0,0.0,-0.06983888218744225,0.0,0.2793588810563549,1.0,-10.0
220,0.0,0.0,0.5468695932493457,-9.498201955916045e-06,0.0,0.7634990819523128,0.0,18.172649718940153,-2.2709650912078088,0.0,5.822824466245215,-11.767229261208659,0.0,3.977715859253227,-0.2601962586102936,0.0,0.0,-0.06983888218744529,0.0,0.27935888105635176,1.0,-10.0
224,0.0,0.0,0.0,-9.49820195591606e-06,0.0,0.812815830034388,0.0,19.2641962232656,-1.7240954979584644,0.0,4.283041864834603,-11.91517950545489,0.0,4.027032607335301,-0.26019625861029,0.0,0.0,-0.06983888218744386,1.689925527830109,0.2793588810563524,1.0,-10.0
230,0.41476171743513535,5.966085574241248,0.0,-9.498201955916067e-06,0.0,0.0,8.962659974191117,0.0,-7.690181072199716,0.0,3.7786441022981534,-3.048298460749896,0.0,0.0,-0.26019625861029355,0.0,2.7518687969403284,-0.06983888218744314,0.0,0.27935888105635337,1.0,-10.0
231,0.0,5.104170523024663,0.0,-9.498201955916062e-06,0.0,0.0,0.0,3.603219127705822,-6.381112687201686,0.0,10.000000000000025,-3.0482984607498937,0.0,0.0,-0.26019625861029305,0.0,0.9956470781608597,-0.06983888218744423,0.0,0.279358881056354,1.0,-10.0
232,0.0,5.551323856806108,0.0,-9.498201955916062e-06,0.0,0.0,0.0,4.273949128377989,-7.275419354764576,0.0,8.882116665546416,-3.0482984607498933,0.0,0.0,-0.2601962586102937,0.0,2.3371070795051914,-0.0698388821874428,0.0,0.27935888105635365,1.0,-10.0
233,0.0,3.315557187898879,0.0,-9.49820195591604e-06,0.0,0.0,0.0,7.627599131738798,-5.039652685857344,0.0,8.882116665546397,-5.2840651296571,0.0,1.117883334453605,-0.2601962586102924,0.0,1.2192237450515782,-0.06983888218744405,0.0,0.2793588810563516,1.0,-10.0
234,0.0,5.601994062105093,0.0,-9.498201955916057e-06,0.0,0.0,0.0,3.7276750124759293,-6.754480341512006,0.6222794238505346,10.000000000000023,-3.6705778846004287,0.0,0.0,-0.26019625861029305,0.0,0.0,-0.06983888218744301,0.0,0.2793588810563517,1.0,-10.0
235,0.0,0.0,0.0,-9.498201955916078e-06,0.0,0.39033444807685863,0.0,16.94054862249922,-2.3578175708947584,0.6337220729362932,6.395448774622257,-11.281457432518618,0.0,3.6045512253777803,-0.26019625861029344,0.0,0.0,-0.06983888218744423,0.0,0.2793588810563535,1.0,-10.0
236,0.0,0.0,0.0,-9.498201955916078e-06,0.0,0.0,0.0,16.74538139846079,-2.55298479493319,0.8288892969747205,6.395448774622257,-11.086290208480186,0.0,3.6045512253777803,-0.26019625861029344,0.0,0.39033444807685863,-0.06983888218744423,0.0,0.2793588810563535,1.0,-10.0
237,0.0,0.0,0.0,-9.49820195591604e-06,0.0,0.0,0.0,17.26582732922987,-2.552984794933181,1.089112262359291,6.265337291929949,-11.606736139249291,0.0,3.7346627080700556,-0.2601962586102903,0.0,0.0,-0.0698388821874413,0.0,0.27935888105635037,1.0,-10.0
