M_ac_e,M_ca2_e,M_cd2_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-6.162150678112046e-07,0.0,0.0,0.0312443547978275,0.0,0.0,0.28867359480169347,-0.28867359480169347,0.0,0.0,0.0,0.0,-0.1249062299217603,-0.0019128947438428348,0.0,0.25861338357272307,0.0,-0.00014542680579717179,0.0,0.0,0.0,0.0,-2.095131951256783e-05,0.0,0.0,-0.0024464919537789324,0.0,0.0,0.0,0.0,-0.0011648769851210709,0.00044495538153141483,0.0,-0.00010950925029994254,0.0,0.0,0.0,0.0,0.0,0.0,0.0006551806251295333,0.0009879388242208932
0.0,-9.703781877148089e-08,0.0,0.0,0.0,0.0,0.0,0.28213514167579223,-0.28213514167579223,0.0,0.0,0.0,0.0024600859317451323,-0.1490781493823378,0.00461894077847108,0.0,0.2774014415736017,0.0,-2.2900933071284284e-05,0.0,0.0,0.0,0.0,-3.2992869731430177e-06,0.0,0.0,-0.0016153017095120862,0.0,0.0,0.0,0.0,-0.0001834377763185105,7.00688800548273e-05,0.0,-1.7244853849731424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010317387886948582,0.0001555746257918976
0.0,-9.956615572588418e-08,0.0,0.0,0.0,0.0,0.0,0.28197653751613294,-0.28197653751613294,0.0,0.0,0.0,0.0022382822350861553,-0.14935051512375383,0.00508237005727715,0.0,0.2771195000486661,0.0,-2.3497620796827653e-05,0.0,0.0,0.0,0.0,-3.3852504591630733e-06,0.0,0.0,-0.0015716181748197467,0.0,0.0,0.0,0.0,-0.00018821727893482407,0.00018625519914283113,0.0,-1.7694171464384714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010586209191855649,0.00015962814925869588
0.0,-3.0940337587184065e-07,0.0,0.0,0.0,0.0,0.0,0.27807374472768537,-0.27807374472768537,0.013910993643186084,0.0,0.0,0.0,-0.14763394081497613,0.001882550274294978,0.0,0.2768914189772055,0.0,-7.301922170732965e-05,0.0,0.0,0.0,0.0,-1.0519718398291632e-05,0.0,0.0,-0.0014060794855973572,0.0,0.0,0.0,0.0,-0.0005848881186110422,0.0005787909251727029,0.0,-5.498491273890352e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003289680954101697,0.0004960469539548045
0.0,-1.1854691427684434e-07,0.0,0.0,0.0,0.0,0.0,0.2806548557668069,-0.2806548557668069,0.0,0.0,0.0,0.0,-0.15161629628457504,0.009249217502569467,0.0,0.2748718986957273,0.0,-2.797708134860889e-05,0.0,0.0,0.0,0.0,-4.030596471886521e-06,0.0,0.0,-0.0010717301335307415,0.0,0.0,0.0,0.0,-0.00022409801270962293,0.0012877524404924488,0.0,-2.106729352454943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001260430740179116,0.00019005880450421385
0.0,-4.421845856113664e-07,0.0,0.0,0.018959302326093025,0.0,0.0,0.28536535277482844,-0.28536535277482844,0.0,0.0,0.0,0.00046081400192072035,-0.1371619303098719,0.003612079297677664,0.0,0.26379469872885364,0.0,-0.00010435559793534443,0.0,0.0,0.0,0.0,-1.503428108238753e-05,0.0,0.0,-0.002239908910639093,0.0,0.0,0.0,0.0,-0.0008358942743538877,0.0008271804555523721,0.0,-7.858182150022884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004701455520270725,0.0007089267082500785
0.0,-4.829076900225215e-07,0.0,0.0,0.01869235305548711,0.0,0.0,0.2844704986411273,-0.2844704986411273,0.0030195167236311098,0.0,0.0,0.0,-0.13696094787813326,0.0029382291054497528,0.0,0.2639328063245234,0.0,-0.00011396625386703846,0.0,0.0,0.0,0.0,-1.6418867108646747e-05,0.0,0.0,-0.0021945675106632622,0.0,0.0,0.0,0.0,-0.0009128761749421589,0.0009033598547319084,0.0,-8.581883478812559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005134437289121115,0.0007742154978174694
0.0,-4.527656523291704e-07,0.0,0.0,0.01934557499740055,0.0,0.0,0.28518367384040955,-0.28518367384040955,0.0,0.0,0.0,0.0,-0.13734341953023244,0.0043725713645296005,0.0,0.263096854064027,0.0,-0.00010685273053575731,0.0,0.0,0.0,0.0,-1.539403747454448e-05,0.0,0.0,-0.002158696179522156,0.0,0.0,0.0,0.0,-0.0008558964484996468,0.0010491916246504803,0.0,-8.046221155261133e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00048139569871909085,0.0007258906663845668
0.0,-3.23211092149104e-07,0.0,0.0,0.0,0.0,0.0,0.2781885783545338,-0.2781885783545338,0.015384650154774783,0.0,0.0,0.0005016664080609173,-0.1465449072174425,0.0,0.0,0.2778063409256298,0.0,-7.627784386450682e-05,0.0,0.0,0.0,0.0,-1.0989180913207708e-05,0.0,0.0,-0.0015340432026492337,0.0,0.0,0.0,0.0,-0.0006109898674137729,0.0002333836388214571,0.0,-5.74387194321548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003436489246444855,0.000518183996193302
0.0,-3.802475635308673e-07,0.0,0.0,0.0,0.0,0.0,0.27652327647944147,-0.27652327647944147,0.019279940408091147,0.0,0.0,0.0,-0.14555156683555873,-0.0011803891265120645,0.0,0.27725397543577823,0.0,-8.973845571947843e-05,0.0,0.0,0.0,0.0,-1.292842160726174e-05,0.0,0.0,-0.001509655724464249,0.0,0.0,0.0,0.0,-0.0007188101339014605,0.0002745684235022718,0.0,-6.757482539099947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004042920230156787,0.0006096269800118538
