,M_co2_e,M_etoh_e,M_fe2_e,M_fe3_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_pi_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_ac_e
11,4.668909272361189,0.06277071055981005,23.08797859065313,-23.087983615124998,0.0,0.0,0.0,0.0,0.0,-1.6125251827638047,0.0,-0.1376417122117353,2.9686146447200916,-0.036944202712886676,0.14777858419456114,1.0,-10.0
12,4.700294627641096,0.0,23.3390614328924,-23.339066457364265,0.0,0.0,0.0,0.0,0.0,-1.6125251827638043,-0.04707803291985866,-0.1376417122117385,3.0000000000000004,-0.03694420271288865,0.14777858419456089,1.0,-10.0
13,2.731679982921002,0.0,17.52737356457183,-17.527378589043693,1.0313853552799073,2.9058439341602824,0.0,0.0,0.0,-2.6439105380437145,0.0,-0.13764171221173466,0.0,-0.036944202712885815,0.1477785841945644,1.0,-10.0
14,1.700294627641094,0.0,17.52737356457183,-17.527378589043686,0.0,6.000000000000005,-3.094156065839724,0.0,0.0,-1.612525182763806,0.0,-0.13764171221173618,0.0,-0.03694420271288389,0.14777858419456058,1.0,-10.0
15,1.7002946276410928,0.0,11.339061432892382,-11.339066457364245,0.0,2.905843934160286,0.0,0.0,0.0,-1.612525182763809,0.0,-0.13764171221173854,0.0,-0.03694420271288606,0.14777858419456394,1.0,-6.905843934160277
16,1.7002946276410917,0.0,13.40183214345219,-13.401837167924054,0.0,3.9372292894401895,0.0,0.0,1.0313853552799073,-2.643910538043714,0.0,-0.13764171221173613,0.0,-0.03694420271288597,0.14777858419456363,1.0,-10.0
17,1.7002946276410928,0.0,0.0,-5.024471862615214e-06,0.0,6.000000000000008,5.669530716446189,0.0,0.0,-1.6125251827638085,-4.381843391142956,-0.13764171221173768,0.0,-0.0369442027128885,0.14777858419456347,1.0,-10.0
18,1.7002946276410937,0.0,11.339061432892391,-11.339066457364252,0.0,6.000000000000013,0.0,0.0,0.0,-1.6125251827638087,-1.5470780329198623,-0.13764171221173624,0.0,-0.03694420271288764,0.14777858419456436,1.0,-10.0
19,4.7002946276410995,0.0,0.0,-5.024471862615215e-06,0.0,0.0,11.6695307164462,0.0,0.0,-1.6125251827638083,-5.88184339114296,-0.13764171221173757,3.0000000000000027,-0.03694420271288644,0.14777858419456433,1.0,-10.0
20,4.700294627641106,0.0,0.0,-5.024471862615222e-06,0.0,0.0,11.669530716446216,0.26952124137597033,0.0,-1.6125251827638114,-5.881843391142968,-0.13764171221173646,3.0000000000000084,-0.03694420271288856,0.14777858419456316,1.0,-10.0
