M_2ddglcn_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846741056614439,0.0,0.0,0.0,0.0,0.0,0.39904564738316894,-0.39904571420353135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02144494389013356,0.0,0.0,0.0,-0.011708575190853852,0.0,-0.0018304946966865442,0.0,0.0,0.0,0.0,0.06206191747597753,0.0,-0.0004913202985678045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019653047779285534,0.017731976421707873
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08027918084841666,0.0,0.0,0.0,0.0,0.004017966930315807,0.4006801699498963,-0.4006802397352013,0.0,0.0,0.0,0.0,0.012286174717014407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03468267026223509,0.0,0.0,0.0,0.0,0.0,-0.0019117171175603825,0.0,0.0,0.0,0.0,0.04437747351177669,0.0,-0.0005131210850690547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020525089703838633,0.01851877687213035
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07975102670723937,0.0,0.0,0.0,0.0,0.004712793362145935,0.3835048063093936,-0.38350488816266115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026269518234325273,0.0,0.0,0.0,0.0,0.0,-0.0022423100782542264,0.0,0.0,0.0,0.0,0.05205166349606317,0.0,-0.000601855039035996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04323246332539602,0.0024074490455325303,0.021721226239952623
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08016230128715902,0.0,0.0,0.0,0.0,0.0041717307696402415,0.39687929287588963,-0.396879365331813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009567266355795351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03282085485428607,0.0,0.0,0.0,0.0,0.0,-0.0019848767450029166,0.0,0.0,0.0,0.0,0.05564302430470972,0.0,-0.0005327577494435762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00213105657045315,0.01922747315580721
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07913066901910193,0.0,0.0,0.0,0.0,0.003678963974091164,0.4006227828116373,-0.4006228467090331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016874352731320146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020506863716343207,0.0,0.0,0.0,0.0,0.0,-0.0017504221727392998,0.0,0.0,0.0,0.0,0.05750762053628416,0.0,-0.0004698281541523899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018793351686315833,0.016956315006665647
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856331899568847,0.0,0.0,0.0,0.0,0.003981280895803293,0.39702176090915636,-0.39702183005728686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022192004412570483,0.0,0.0,0.0,-0.009130496877840082,0.0,-0.001894262190387184,0.0,0.0,0.0,0.0,0.06223327888411115,0.0,-0.0005084360346038777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002033768543638035,0.01834969123771795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06129837276660176,0.0,0.0,0.0,0.0,0.0,0.3859318033519476,-0.385931883499929,0.0,0.0,0.0,0.0,0.034176082913256065,0.0,0.046352638048514645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059898316396646875,0.0,0.0,0.0,0.0,0.0,-0.002195595018550859,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005893163208836748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002357293571057552,0.021268698112611846
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024600086106045353,0.0,0.0,0.0,0.0,0.0,0.35004255337047585,-0.35004262606519504,0.0,0.0,0.0,0.0,0.0,0.0,0.1350358931469188,0.0,0.0,-0.09299376125460904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02333022624390105,0.0,0.0,0.0,0.0,0.0,-0.0019914183795839316,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005345135796359738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021380799755036013,0.019290841878131265
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04597878851639376,0.0,0.0,0.0,0.0,0.0,0.3066270392918078,-0.3066271751618655,0.0,0.0,0.0,0.0,0.0,0.0,0.07857884247729553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04360535706597938,0.0,0.0,0.0,0.0,0.0,-0.003722060326449344,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009990325534341737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17380998032437528,0.003996178167874709,0.03605554611452442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03732812171523304,0.0,0.0,0.0,0.0,0.0,0.3430091429839065,-0.34300925329072873,0.0,0.0,0.0,0.0,0.0,0.0,0.11083083006216786,0.0,0.0,0.0,0.0,0.0,0.04703618277195538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08243742165876763,0.0,0.0,0.0,0.0,0.0,-0.003021774287236883,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008110698423203214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003244318301100899,0.029271885086582673
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06534594054500917,0.0,0.0,0.0,0.0,0.0,0.0,-1.9310114509979528e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.35869986011359123,0.0,0.0,0.21789212945346007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06197277401646669,0.0,0.0,0.0,-0.23245711196056723,0.0,-0.005289863883872789,0.0,0.0,0.0,0.0,0.0,0.0,-0.001419844322691574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005679445444111625,0.05124283715908448
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042302490956024424,0.0,0.0,0.0,0.0,0.0,0.28211025072766754,-0.28211037573404707,0.0,0.0,0.0,0.0,0.0,0.0,0.23220872577281057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04011883049637356,0.0,0.0,0.0,-0.07995638160536893,0.0,-0.003424457850629556,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009191535253556049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036766582213210754,0.03317267511040153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16894512825974894,0.0,0.0,0.0,0.0,0.0,0.0,-1.3332263289018774e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3980958378716131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04278780115526469,0.0,0.0,0.0,-0.22240933175387478,0.0,-0.00365227549667898,0.0,0.0,0.0,0.0,0.123828395069773,0.0,-0.0009803017133720078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039212539085349335,0.035379541448506586
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700006236566642,0.0,0.0,0.0,0.0,0.007903713917228748,0.0,-1.3727417269914682e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3940875435903183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044055985678309,0.0,0.0,0.0,-0.2151698063888669,0.0,-0.0037605250242014367,0.0,0.0,0.0,0.0,0.12354667889663762,0.0,-0.0010093568044784885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004037475667621965,0.036428153101500584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16414170719532759,0.0,0.0,0.0,0.0,0.0,0.0,-1.2953202495857438e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867772402121945,0.028431841236855347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04157126518594407,0.0,0.0,0.0,-0.21608582494385353,0.0,-0.003548434579604146,0.0,0.0,0.0,0.0,0.12030772580053462,0.0,-0.0009524299306931976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00380976543995807,0.034373635943009906
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1679270835126445,0.0,0.0,0.0,0.0,0.0078073103409258765,0.0,-1.3559980526621526e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892807592132034,0.012197250218372507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043518623797373625,0.0,0.0,0.0,-0.21254532642090312,0.0,-0.0037146569595288004,0.0,0.0,0.0,0.0,0.1220397491404864,0.0,-0.0009970454269746475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003988229566653389,0.0359838298031284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061635025321673156,0.0,0.0,0.0,0.0,0.004885124940999508,0.37924495464290475,-0.379245039489281,0.0,0.0,0.0,0.0,0.0329227861728923,0.0,0.053955024128057215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06015289554821821,0.0,0.0,0.0,0.0,0.0,-0.002324304090376344,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006238629271711178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024954816544643242,0.02251550108396196
