,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
170,-0.0005670346204217935,18.949846436612138,307.7883768171833,-307.7883768171833,10.903380368378924,0.0,-148.84242200003945,0.0,288.69021328170436,0.0,-0.13382021623911172,0.0,0.0,0.19340942301550584,-0.019279183726134456,-2.6090768922988397,-1.0719075426739328,1.125124745500107,-0.10076925966297189,0.0,0.6028903161969458,1.0,-10.0
171,-0.0005670346204217562,17.705798120299438,284.7296654627859,-284.7296654627859,10.6673928976384,0.0,-133.67150880517744,-3.671753328087123,268.9483442138445,0.0,-0.1338202162391634,0.0,0.0,1.9698243016534625,-0.01927918372613319,-2.0465145195485706,-1.071907542673904,0.0,-0.10076925966296524,0.0,0.6028903161968913,1.0,-10.0
172,-0.0005670346204217913,17.705798120300567,295.7449254470657,-295.7449254470657,6.995639569551724,0.0,-141.0150154613605,0.0,278.1277275340796,0.0,-0.133820216239159,0.0,0.0,0.13394763760992795,-0.01927918372613438,-2.046514519548677,-1.071907542673986,0.0,-0.10076925966297148,0.0,0.6028903161969716,1.0,-8.164123335956356
173,-0.0005670346204217787,20.643200782770055,315.0828263083191,-315.0828263083191,6.995639569551522,0.0,-149.94961522636984,0.0,294.1610504000549,0.0,-0.1338202162390943,0.0,0.0,1.2354736360360725,-0.019279183726133957,-2.413689852357371,-1.0719075426739855,0.7343506656174495,-0.10076925966296926,0.0,0.6028903161968621,1.0,-10.0
174,-0.0005670346204217837,24.13136644445324,354.49297869645955,-354.49297869645955,6.077701237529746,0.0,-168.55316542201382,0.0,329.53227412729893,0.0,-0.133820216239167,0.0,0.9179383320217429,0.13394763760989514,-0.01927918372613412,-2.9644528515705537,-1.071907542673985,0.0,-0.10076925966297012,0.0,0.602890316196951,1.0,-10.0
175,-0.0005670346204217765,23.21342811243105,323.28307540771283,-323.28307540771283,6.995639569551549,0.0,-153.4071829436515,0.0,300.1582475025962,0.9179383320217807,-0.1338202162391441,0.0,0.0,0.13394763760991937,-0.019279183726133877,-2.505483685559593,-1.0719075426739737,0.0,-0.10076925966296883,0.0,0.6028903161968489,1.0,-10.0
176,-0.0005670346204217855,20.0590108003642,270.610389382418,-270.610389382418,8.31418021757525,0.0,-124.25865808492928,-3.6717533280872963,252.47585545341192,0.0,-0.13382021623911064,0.0,0.0,1.9698243016535797,-0.019279183726134186,-2.046514519548706,-1.071907542673994,0.0,-0.10076925966297037,0.0,0.6028903161969282,1.0,-10.0
177,-0.0005670346204217934,20.05901080036444,281.62564936668406,-281.62564936668406,4.6424268894879175,0.0,-131.60216474110578,0.0,261.65523877363404,0.0,-0.13382021623920146,0.0,0.0,0.13394763760988712,-0.019279183726134453,-2.046514519548699,-1.0719075426739582,0.0,-0.10076925966294537,0.0,0.6028903161969328,1.0,-8.164123335956376
178,-0.0005670346204218096,22.996413462835008,300.9635502279531,-300.9635502279531,4.642426889488091,0.0,-140.53676450612255,0.0,277.68856163962374,0.0,-0.13382021623921078,0.0,0.0,1.2354736360361958,-0.019279183726135008,-2.413689852357525,-1.0719075426739848,0.7343506656174109,-0.10076925966297476,0.0,0.6028903161969161,1.0,-10.0
179,-0.0005670346204217726,26.48457912451643,340.37370261607003,-340.37370261607003,3.724488557465962,0.0,-159.14031470175553,0.0,313.05978536684626,0.0,-0.1338202162391426,0.0,0.9179383320217419,0.133947637609842,-0.01927918372613374,-2.964452851570434,-1.0719075426739346,0.0,-0.10076925966296811,0.0,0.6028903161968453,1.0,-10.0
