,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
84,0.0,0.0,0.38982653235365405,-1.2664269274554746e-05,0.0,8.780069056481326,16.41683788399747,-2.6886205296316064,0.0,1.0883948292500665,-12.63564268713563,0.0,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,0.0,0.3724785080751349,1.0,-10.0
105,0.0,0.0,0.0,-1.2664269274554746e-05,0.0,0.0,21.39161221076862,-2.2987939972779525,0.0,4.503863026606592,-12.63564268713563,0.0,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,1.1694795970609622,0.3724785080751349,1.0,-10.0
112,0.0,7.401765142408151,0.0,-1.2664269274554763e-05,0.0,0.0,7.365265504504003,-9.700559139686112,0.0,6.842822220728534,-4.06439794766653,0.0,0.0,-0.3469283448137244,0.0,3.116142772673593,-0.09311850958325914,0.0,0.37247850807513716,1.0,-10.0
113,0.0,6.363050884850284,0.0,-1.2664269274554753e-05,0.0,0.0,5.807194118167199,-7.623130624570375,0.0,9.43960786462319,-4.064397947666524,0.0,0.0,-0.34692834481372237,0.0,0.0,-0.09311850958325951,0.0,0.37247850807513677,1.0,-10.0
114,0.0,1.1694795970609702,0.0,-1.266426927455478e-05,0.0,0.0,16.7136938225248,-3.468273594338927,0.0,6.842822220728545,-10.29668349301373,0.0,3.1161427726735944,-0.3469283448137256,0.0,0.0,-0.09311850958325774,0.0,0.3724785080751374,1.0,-10.0
117,0.0,0.0,0.0,-1.2664269274554725e-05,0.0,0.0,21.391612210768592,-2.8835337958084324,0.5847397985304809,5.088602825137068,-13.2203824856661,0.0,4.285622369734549,-0.34692834481372165,0.0,0.0,-0.09311850958325858,0.0,0.3724785080751371,1.0,-10.0
123,0.0,0.0,0.0,-1.2664269274554725e-05,0.0,9.16989558883497,16.806664416351104,-2.8835337958084324,0.5847397985304809,0.5036550307195828,-13.2203824856661,0.0,4.285622369734549,-0.34692834481372165,0.0,0.0,-0.09311850958325858,0.0,0.3724785080751371,1.0,-10.0
133,0.0,7.401765142408151,0.0,-1.2664269274554763e-05,0.0,9.169895588834997,2.7803177100865035,-9.700559139686112,0.0,2.2578744263110355,-4.06439794766653,0.0,0.0,-0.3469283448137244,0.0,3.116142772673593,-0.09311850958325914,0.0,0.37247850807513716,1.0,-10.0
142,0.0,6.363050884850284,0.0,-1.2664269274554753e-05,0.0,10.20860984639285,0.7028891949707724,-7.623130624570375,0.0,4.335302941426761,-4.064397947666524,0.0,0.0,-0.34692834481372237,0.0,0.0,-0.09311850958325951,0.0,0.37247850807513677,1.0,-10.0
150,0.0,1.1694795970609702,0.0,-1.266426927455478e-05,0.0,9.169895588835008,12.128746028107292,-3.468273594338927,0.0,2.2578744263110386,-10.29668349301373,0.0,3.1161427726735944,-0.3469283448137256,0.0,0.0,-0.09311850958325774,0.0,0.3724785080751374,1.0,-10.0
156,0.0,0.0,0.0,-1.2664269274554746e-05,0.0,9.16989558883498,16.806664416351126,-1.7140541987474667,0.0,1.0883948292500665,-12.63564268713563,-0.5847397985304811,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,0.0,0.3724785080751349,1.0,-10.0
169,0.0,36.85557338313172,0.0,-1.2664269274554732e-05,0.0,0.0,28.676585991878277,0.0,0.0,1.8164772400528053,-4.064397947666518,-22.869391873711088,0.0,-0.3469283448137172,0.0,0.0,-0.09311850958325738,0.0,0.37247850807513166,1.0,-10.0
182,0.0,0.0,0.0,-1.2664269274554778e-05,0.0,0.0,26.044045035940393,0.0,0.0,4.449018195990803,-14.594561771418492,-1.809064226207251,5.265081911875979,-0.34692834481372514,0.0,0.0,-0.0931185095832559,0.0,0.37247850807513655,1.0,-10.0
195,1.1694795970609622,0.0,0.0,-1.2664269274554746e-05,0.0,0.0,20.806872412238132,-2.2987939972779525,0.0,5.088602825137073,-12.63564268713563,0.0,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,0.0,0.3724785080751349,1.0,-10.0
201,1.1694795970609622,0.0,0.0,-1.2664269274554746e-05,0.0,8.000415991774013,16.806664416351126,-2.2987939972779525,0.0,1.0883948292500665,-12.63564268713563,0.0,4.285622369734554,-0.34692834481372203,0.0,0.0,-0.09311850958325588,0.0,0.3724785080751349,1.0,-10.0
