,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
148,0.0,-0.0006237380824639389,26.82864403995459,367.98181247463936,-367.98181247463936,0.0,1.19093303988863,-171.0533164105793,0.342937418881485,339.888226913401,0.0,-0.1472022378631071,0.0,1.1668067318188289,-0.02120710209874675,-2.8466324914478798,-1.17909829694126,0.0,-0.11084618562926303,0.663179347816611,1.0,-10.0
151,0.0,-0.0006237380824639799,25.96579939059958,406.80982169571666,-406.80982169571666,0.0,1.622355364567049,-192.40872148216982,1.205782068238309,378.7162361344767,0.0,-0.14720223786311953,0.0,1.166806731818853,-0.02120710209874814,-3.0623436537872264,-1.1790982969414023,0.0,-0.1108461856292703,0.6631793478166496,1.0,-10.0
152,0.0,-0.0006237380824639301,24.88422914755284,373.2811441612987,-373.2811441612987,0.0,0.0,-174.8332050326782,1.2057820682381555,347.35069908615026,0.0,-0.1472022378631132,0.0,2.248376974863506,-0.021207102098746447,-2.251165971503435,-1.1790982969412431,0.0,-0.11084618562926146,0.663179347816504,1.0,-10.0
153,0.0,-0.0006237380824639916,26.03468868003102,343.3691963169679,-343.3691963169679,0.0,0.0,-158.15154181179815,0.3429374188815302,316.86352147557903,0.0,-0.14720223786312817,0.0,1.960762091744773,-0.021207102098748543,-2.2511659715036254,-1.1790982969414237,0.0,-0.11084618562927243,0.6631793478166161,1.0,-10.0
154,0.0,-0.0006237380824639635,0.0,420.56580033739976,-420.56580033739976,32.07618670553971,0.0,-219.7637834892896,-4.188186100250884,423.115563188797,0.0,-0.14720223786312583,0.0,0.45038758536718165,-0.02120710209874758,-2.2511659715035512,-1.1790982969413724,0.0,-0.1108461856292674,0.6631793478166513,1.0,-10.0
155,0.0,-0.0006237380824639551,0.0,600.6578026481807,-600.6578026481807,27.888000605288386,2.0940930501252963,-315.0450172699933,0.0,599.0193793993269,0.0,-0.14720223786312386,0.0,0.45038758536711887,-0.021207102098747304,-3.298212496566118,-1.1790982969413384,0.0,-0.11084618562926592,0.6631793478165218,1.0,-10.0
156,0.0,-0.0006237380824639743,0.0,542.2983012773012,-542.2983012773012,30.22997445018169,0.0,-285.6309974087118,0.0,541.8860293401231,0.0,-0.14720223786312836,0.5097321652238648,0.14734240137093887,-0.02120710209874795,-2.7608981367275476,-1.1790982969412431,0.0,-0.11084618562926932,0.6631793478165244,1.0,-10.0
157,0.0,-0.0006237380824640001,0.0,562.6875878862845,-562.6875878862845,27.171581458838812,1.0194643304478603,-294.80617638275595,0.0,561.7655837838824,0.0,-0.14720223786313447,0.0,1.1668067318188875,-0.02120710209874883,-2.7608981367275964,-1.1790982969412733,0.0,-0.11084618562927391,0.6631793478166185,1.0,-10.0
158,0.0,-0.0006237380824640204,0.0,481.13044145045626,-481.13044145045626,27.171581458839775,0.0,-252.49840666917027,0.0,481.2279016785023,0.0,-0.14720223786313924,0.0,0.14734240137094978,-0.02120710209874952,-2.251165971503724,-1.1790982969414547,0.0,-0.11084618562927752,0.6631793478165569,1.0,-8.980535669552001
159,0.0,-0.0006237380824640047,0.0,475.01365546775577,-475.01365546775577,29.2105101197352,0.0,-248.42054934737166,-2.03892866089596,476.1305800262499,0.0,-0.14720223786313552,0.0,1.1668067318189432,-0.021207102098748987,-2.251165971503699,-1.1790982969414134,0.0,-0.11084618562927472,0.6631793478166217,1.0,-10.0
160,0.0,-0.0006237380824640255,0.0,520.8895503379357,-520.8895503379357,30.229974450184237,0.0,-274.67175585641814,0.0,520.9870105659817,0.5097321652240402,-0.14720223786314043,0.0,0.14734240137095095,-0.02120710209874969,-2.506032054115683,-1.1790982969414314,0.0,-0.1108461856292784,0.6631793478167253,1.0,-10.0
161,0.0,-0.0006237380824640075,0.0,504.9179424942343,-504.9179424942343,28.802724387555976,0.0,-265.61551438759653,0.0,504.8115098561908,0.0,-0.14720223786313621,0.0,0.7590209996397237,-0.02120710209874908,-2.4550588375932176,-1.1790982969414576,0.40778573217918124,-0.1108461856292752,0.6631793478165463,1.0,-10.0
162,0.0,-0.0006237380824639425,0.0,536.1815152945857,-536.1815152945857,26.491938571871007,0.0,-280.36376503471604,0.0,535.939154079149,0.0,-0.1472022378631208,0.0,1.8464496187840924,-0.021207102098746863,-2.251165971503367,-1.1790982969413049,0.0,-0.11084618562926364,0.6631793478166065,1.0,-10.0
163,0.0,-0.0006237380824639805,23.044503088898946,357.9422765661142,-357.9422765661142,7.185471361283007,0.0,-170.40848196421936,0.0,334.48550154003703,0.0,-0.14720223786312076,0.5097321652239919,0.14734240137092322,-0.021207102098748164,-2.7608981367275596,-1.1790982969413513,0.0,-0.11084618562927041,0.6631793478166638,1.0,-10.0
164,0.0,-0.0006237380824639323,23.554235254121153,374.2537058532535,-374.2537058532535,3.617346204714569,1.0194643304478817,-177.03500011211779,0.0,349.77746649673026,0.0,-0.14720223786298917,0.0,1.1668067318188096,-0.02120710209874652,-2.7608981367273633,-1.1790982969412962,0.0,-0.11084618562926184,0.6631793478165973,1.0,-10.0
165,0.0,-0.0006237380824639851,19.476377932331093,325.31941799178,-325.31941799178,7.695203526507047,0.0,-155.11651700750016,0.0,305.94050028749484,0.0,-0.14720223786309003,0.0,0.1473424013709328,-0.021207102098748317,-2.2511659715035823,-1.1790982969413641,0.0,-0.11084618562927122,0.6631793478166396,1.0,-8.980535669552017
166,0.0,-0.0006237380824639938,19.476377932331363,319.20263200909636,-319.20263200909636,9.734132187403226,0.0,-151.0386596857102,-2.038928660895981,300.84317863525894,0.0,-0.1472022378630814,0.0,1.1668067318189097,-0.02120710209874862,-2.2511659715036334,-1.1790982969413937,0.0,-0.11084618562927279,0.6631793478166661,1.0,-10.0
167,0.0,-0.0006237380824639837,22.534770923675076,340.61138294849957,-340.61138294849957,7.695203526506989,0.0,-161.99790123802404,0.0,318.1740722528704,0.5097321652239754,-0.14720223786309933,0.0,0.14734240137082302,-0.021207102098748272,-2.5060320541156558,-1.1790982969414023,0.0,-0.110846185629271,0.6631793478166456,1.0,-10.0
168,0.0,-0.0006237380824639439,21.107520861046474,336.0577756058103,-336.0577756058103,7.695203526506516,0.0,-160.0779100823367,0.0,314.8438221067201,0.0,-0.14720223786305014,0.0,0.759020999639699,-0.02120710209874692,-2.4550588375931306,-1.1790982969412798,0.4077857321791307,-0.1108461856292639,0.6631793478165369,1.0,-10.0
169,0.0,-0.0006237380824639499,22.87459236715649,353.1847763573394,-353.1847763573394,3.617346204714682,0.0,-165.9908031989365,0.0,330.0678227747461,0.0,-0.14720223786308062,0.0,1.8464496187841073,-0.021207102098747124,-2.251165971503519,-1.1790982969413009,0.0,-0.110846185629265,0.6631793478165297,1.0,-10.0
263,0.0,-0.000623738082463998,27.950479227328977,391.34874552938317,-391.34874552938317,0.0,2.1878109831833723,-182.54934707183423,0.0,361.69736443116165,0.0,-0.14720223786306022,0.0,0.38790896332861236,-0.021207102098748758,-3.3450714630953984,-1.1790982969413375,0.0,-0.11084618562927351,0.6631793478166383,1.0,-10.0
264,0.0,-0.0006237380824640007,27.78386956855945,389.47438686822625,-389.47438686822625,0.0,2.146158568490983,-181.79960360737152,0.10413103673103297,359.94796301408195,0.0,-0.1472022378631319,0.0,0.45038758536721857,-0.021207102098748848,-3.3242452557491893,-1.1790982969414112,0.0,-0.110846185629274,0.6631793478166178,1.0,-10.0
265,0.0,-0.0006237380824639488,27.575607495095106,386.6628488764562,-386.6628488764562,0.31239311019297006,2.094093050125277,-180.47193288903577,0.0,357.44881813250737,0.0,-0.14720223786300898,0.0,0.4503875853671752,-0.021207102098747085,-3.2982124965661677,-1.179098296941297,0.0,-0.11084618562926478,0.6631793478165227,1.0,-10.0
266,0.0,-0.0006237380824639585,19.199235294593887,273.5818241696888,-273.5818241696888,12.876951410945644,0.0,-127.07256011084006,-4.188186100250849,256.9323517264921,0.0,-0.1472022378630509,0.0,0.450387585367239,-0.02120710209874741,-2.251165971503589,-1.1790982969413684,0.0,-0.11084618562920312,0.6631793478165935,1.0,-10.0
267,0.0,-0.0006237380824639588,27.888000605288603,386.66284887646236,-386.66284887646236,0.0,2.094093050125403,-180.15953977884567,0.0,357.13642502232005,0.0,-0.14720223786304623,0.0,0.4503875853672304,-0.021207102098747422,-3.298212496566206,-1.1790982969412895,0.0,-0.11084618562926654,0.6631793478165873,1.0,-10.0
268,0.0,-0.0006237380824639612,32.076186705539705,273.58182416969,-273.58182416969,0.0,0.0,-114.19560869989496,-4.1881861002508325,244.0554003155475,0.0,-0.1472022378631205,0.0,0.4503875853672104,-0.02120710209874751,-2.251165971503583,-1.1790982969413304,0.0,-0.11084618562922115,0.663179347816661,1.0,-10.0
269,0.0,-0.0006237380824639989,30.229974450182862,342.4110728777029,-342.4110728777029,0.0,0.0,-155.45740875873022,0.0,311.7688264903419,0.0,-0.14720223786302605,0.5097321652239759,0.14734240137084606,-0.02120710209874879,-2.760898136727645,-1.179098296941462,0.0,-0.11084618562927367,0.6631793478166242,1.0,-10.0
270,0.0,-0.0006237380824639397,27.171581458836222,358.72250216483764,-358.72250216483764,0.0,1.0194643304478967,-165.65205206319504,0.0,330.62891660359946,0.0,-0.14720223786308598,0.0,1.1668067318187683,-0.02120710209874678,-2.760898136727437,-1.1790982969412687,0.0,-0.11084618562926318,0.6631793478165257,1.0,-10.0
271,0.0,-0.0006237380824639757,29.210510119733833,303.6714283206658,-303.6714283206658,0.0,0.0,-133.53892565409228,-2.038928660896009,275.57784275942595,0.0,-0.1472022378630284,0.0,1.1668067318188498,-0.021207102098748,-2.251165971503593,-1.1790982969413988,0.0,-0.11084618562919525,0.6631793478166044,1.0,-10.0
272,0.0,-0.0006237380824639356,27.171581458836005,309.78821430333403,-309.78821430333403,0.0,0.0,-139.65571163677137,0.0,282.71409307254385,0.0,-0.14720223786307932,0.0,0.14734240137084104,-0.021207102098746638,-2.2511659715034815,-1.1790982969413044,0.0,-0.11084618562916525,0.663179347816547,1.0,-8.980535669552118
273,0.0,-0.0006237380824639313,26.491938571870577,337.65357266890874,-337.65357266890874,0.0,0.0,-154.6078551500068,0.0,310.9192728816015,0.0,-0.147202237863086,0.0,1.8464496187841073,-0.021207102098746492,-2.251165971503414,-1.1790982969412227,0.0,-0.11084618562926168,0.6631793478165787,1.0,-10.0
274,0.0,-0.0006237380824639307,30.229974450179657,325.0801792600506,-325.0801792600506,0.0,0.0,-146.53709586729383,0.0,294.9476650379169,0.5097321652238808,-0.14720223786302708,0.0,0.14734240137090437,-0.02120710209874647,-2.5060320541154284,-1.1790982969412522,0.0,-0.1108461856292616,0.6631793478165257,1.0,-10.0
275,0.0,-0.0006237380824639653,28.802724387554136,320.526571917401,-320.526571917401,0.0,0.0,-144.61710471162488,0.0,291.61741489180315,0.0,-0.14720223786306919,0.0,0.7590209996396267,-0.02120710209874765,-2.4550588375931475,-1.179098296941302,0.40778573217915925,-0.11084618562926772,0.6631793478166145,1.0,-10.0
285,0.31239311019297067,-0.0006237380824640031,28.200393715483774,391.9735317497726,-391.9735317497726,0.0,2.2502896052220374,-182.89297949304802,0.0,362.134714785435,0.0,-0.14720223786310477,0.0,0.13799447517416513,-0.02120710209874893,-3.376310774114785,-1.1790982969414676,0.0,-0.11084618562927444,0.6631793478166984,1.0,-10.0
302,1.0288122566447315,-0.0006237380824639861,27.177813409636038,344.51232104657026,-344.51232104657026,0.0,0.0,-158.03722933883623,0.0,317.435083840379,0.0,-0.14720223786302386,0.0,1.1605747810211053,-0.021207102098748355,-2.251165971503628,-1.1790982969413766,0.0,-0.11084618562927144,0.6631793478165722,1.0,-10.0
310,1.0288122566445945,-0.0006237380824639293,28.200393715480416,376.212310527791,-376.212310527791,0.0,1.5338704587702132,-174.6541593088331,0.0,347.0899127099085,0.0,-0.1472022378630949,0.0,0.1379944751741679,-0.02120710209874642,-3.018101200888524,-1.1790982969412034,0.0,-0.11084618562926132,0.6631793478165613,1.0,-10.0
