,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
148,3.102503289534023,-0.0002779794969135269,15.308963000345976,165.3022425829121,-165.3022425829121,0.0,0.0,-82.37618552804312,6.9703714359642,148.21435735304104,0.0,-0.06560318373390013,0.0,0.0,-0.009451306146188766,-1.6876903609413392,-0.5254852326806487,0.0,-0.04940049001703753,1.368839829733235,0.2955571683891164,1.0,-10.0
149,2.418083374667455,-0.0002779794969135285,9.833603681412942,136.55660615851428,-136.55660615851428,0.0,0.0,-67.3189474009776,4.917111691364351,125.62850016244288,0.0,-0.06560318373390213,0.0,0.0,-0.009451306146188821,-1.0032704460747193,-0.5254852326806587,0.0,-0.04940049001700441,0.0,0.29555716838910384,1.0,-6.577900425666815
150,5.840182949000558,-0.0002779794969135247,9.833603681412834,102.33561041518107,-102.33561041518107,6.8441991486662594,0.0,-50.20844952931097,1.495012117031135,94.82960399344293,0.0,-0.06560318373393421,0.0,0.0,-0.009451306146188691,-1.0032704460747113,-0.525485232680644,0.0,-0.049400490017033435,0.0,0.2955571683891217,1.0,-10.0
151,3.1025032895340643,-0.00027797949691352967,15.308963000346115,178.07808099375768,-178.07808099375768,0.0,0.0,-87.3952649037326,6.970371435964233,160.99019576388648,0.0,-0.06560318373393181,0.0,0.0,-0.00945130614618886,-1.68769036094134,-0.5254852326806414,1.3688398297332467,-0.04940049001703802,0.0,0.2955571683891008,1.0,-10.0
152,5.840182949000661,-0.00027797949691352994,16.677802830079408,102.33561041518298,-102.33561041518298,0.0,0.0,-43.364250380645515,1.4950121170311756,87.98540484477832,0.0,-0.06560318373393495,0.0,0.0,-0.00945130614618887,-1.0032704460747242,-0.5254852326806431,0.0,-0.0494004900170081,0.0,0.2955571683891155,1.0,-10.0
162,6.817925684524285,-0.0002779794969135253,14.722317359031635,141.44531983613152,-141.44531983613152,0.0,0.0,-66.83007603321491,3.4504975880786466,128.07285700125084,0.0,-0.06560318373392433,0.0,0.0,-0.009451306146188715,-1.0032704460746933,-0.525485232680642,0.0,-0.04940049001703726,0.0,0.29555716838910306,1.0,-10.0
163,5.84018294900069,-0.00027797949691353113,8.679979452176223,109.2573557906043,-109.2573557906043,7.997823377903232,0.0,-54.822946446259394,1.495012117031146,102.90497359810279,0.0,-0.06560318373390676,0.0,0.0,-0.00945130614618891,-1.0032704460747395,-0.525485232680659,0.0,-0.04940049001701217,0.0,0.295557168389115,1.0,-10.0
164,2.6410535978394067,-0.00027797949691353585,15.078238154499072,182.83733086731732,-182.83733086731732,0.0,0.0,-92.41271632240625,7.893270819353855,165.28799594575094,0.0,-0.0656031837339172,0.0,0.0,-0.009451306146189073,-1.8030527838650563,-0.525485232680617,0.0,-0.04940049001703914,1.5995646755806336,0.29555716838913487,1.0,-10.0
165,1.8412712600490175,-0.0002779794969135299,8.679979452176203,149.24647268011987,-149.24647268011987,0.0,0.0,-74.81750489101715,5.493923805982771,138.8951787986668,0.0,-0.06560318373391254,0.0,0.0,-0.009451306146188868,-1.00327044607474,-0.5254852326806194,0.0,-0.049400490017038064,0.0,0.29555716838909907,1.0,-6.001088311048408
166,2.6410535978394902,-0.00027797949691354273,15.078238154499433,197.7666011727418,-197.7666011727418,0.0,0.0,-98.27778679953776,7.893270819354068,180.217266251175,0.0,-0.06560318373394089,0.0,0.0,-0.009451306146189307,-1.8030527838651051,-0.525485232680652,1.5995646755807154,-0.04940049001704036,0.0,0.2955571683891465,1.0,-10.0
167,4.062888865022183,-0.000277979496913533,14.900508746101035,194.56747182157352,-194.56747182157352,0.0,0.0,-97.47800446174395,6.82689436896672,177.55132512520092,0.0,-0.06560318373393857,0.0,0.8886470419892476,-0.00945130614618897,-1.8919174880639933,-0.5254852326806595,0.0,-0.04940049001703861,0.0,0.2955571683891213,1.0,-10.0
168,1.0414889222587576,-0.0002779794969135406,16.677802830080058,195.63384827196603,-195.63384827196603,0.0,0.0,-97.21141034914987,7.893270819354022,176.48494867481867,0.0,-0.06560318373394038,1.5995646755806463,0.0,-0.009451306146189232,-1.803052783865095,-0.5254852326806446,0.0,-0.04940049001703997,0.0,0.29555716838913965,1.0,-10.0
169,3.840727104524784,-0.00027797949691352663,14.678346985603401,171.24048696935168,-171.24048696935168,0.0,0.0,-86.31437599675202,7.493379650458492,154.89082555447138,0.9997279222378321,-0.06560318373387795,0.0,0.0,-0.009451306146188757,-1.5031344071936763,-0.5254852326806585,0.0,-0.04940049001703748,0.0,0.29555716838910345,1.0,-10.0
170,5.8401829490005674,-0.000277979496913527,14.011861704111496,181.23776619173083,-181.23776619173083,0.0,1.3329705629838093,-88.81369580234686,4.160953242998838,166.8875606213263,0.0,-0.06560318373392678,0.0,0.0,-0.00945130614618877,-1.669755727566637,-0.5254852326806569,0.0,-0.04940049001703756,0.0,0.2955571683891034,1.0,-10.0
185,5.520898557829362,-0.00027797949691353146,14.396403113857343,170.9576593589497,-170.9576593589497,0.0,1.4599842492823465,-82.96806640961428,3.7764118332532775,156.28816939737365,0.0,-0.06560318373391302,0.0,0.0,-0.009451306146188918,-1.7332625707159162,-0.5254852326806212,0.0,-0.049400490017038334,0.0,0.29555716838913065,1.0,-10.0
186,3.330922183905782,-0.00027797949691352604,15.126395238498208,160.00777748932893,-160.00777748932893,0.0,0.0,-80.23059594220835,7.426372456459037,143.14831115382967,1.094988186961733,-0.06560318373387997,0.0,0.0,-0.009451306146188736,-1.550764539555585,-0.5254852326806602,0.0,-0.049400490017037384,0.0,0.2955571683890797,1.0,-10.0
187,5.520898557829377,-0.0002779794969135295,17.316371612421943,92.11850989770191,-92.11850989770191,0.0,0.0,-36.978562557219874,0.8564433346885981,77.44901993612595,0.0,-0.06560318373391336,0.0,0.0,-0.009451306146188854,-1.0032704460747472,-0.5254852326806493,0.0,-0.049400490017029,0.0,0.2955571683891325,1.0,-10.0
188,0.26495526041290457,-0.00027797949691354187,17.316371612422667,186.72548925120606,-186.72548925120606,0.0,0.0,-92.16596718009657,7.864367731244213,166.8000559922128,0.0,-0.06560318373394067,1.7519810991388625,0.0,-0.009451306146189274,-1.8792609956442083,-0.5254852326806506,0.0,-0.04940049001704019,0.0,0.29555716838910057,1.0,-10.0
189,3.574252892119674,-0.0002779794969135368,15.369725946712546,185.55750185177686,-185.55750185177686,0.0,0.0,-92.45796402995143,6.69638033181812,167.96804339163575,0.0,-0.0656031837339395,0.0,0.9733228328548591,-0.009451306146189106,-1.9765932789297,-0.5254852326806461,0.0,-0.049400490017039306,0.0,0.29555716838911883,1.0,-10.0
190,1.1409458099823304,-0.00027797949691352994,8.556466116727877,135.91803737617244,-135.91803737617244,0.0,0.0,-67.63823179214921,5.236396082535631,125.62850016244352,0.0,-0.06560318373389022,0.0,0.0,-0.00945130614618887,-1.003270446074714,-0.5254852326806239,0.0,-0.04940049001700334,0.0,0.2955571683891148,1.0,-5.620047252152981
191,5.520898557829401,-0.0002779794969135312,8.556466116727924,92.11850989770248,-92.11850989770248,8.759905495694099,0.0,-45.73846805291422,0.8564433346886129,86.20892543182057,0.0,-0.06560318373391558,0.0,0.0,-0.009451306146188915,-1.0032704460747561,-0.5254852326806667,0.0,-0.049400490017022264,0.0,0.2955571683891059,1.0,-10.0
192,2.0169363595517056,-0.0002779794969135278,15.564390513283042,189.0614640500484,-189.0614640500484,0.0,0.0,-93.3339545795178,7.86436773124379,170.888011890195,0.0,-0.06560318373393735,0.0,0.0,-0.009451306146188797,-1.8792609956441435,-0.5254852326806077,1.7519810991387428,-0.0494004900170377,0.0,0.29555716838909063,1.0,-10.0
193,2.016936359551774,-0.0002779794969135336,15.564390513283326,172.7096404580899,-172.7096404580899,0.0,0.0,-86.91002388267738,7.864367731243959,154.53618829823608,0.0,-0.06560318373393105,0.0,0.0,-0.009451306146188996,-1.8792609956441308,-0.5254852326806434,0.0,-0.04940049001703873,1.7519810991388367,0.2955571683891269,1.0,-10.0
197,5.092676890485064,-0.00027797949691352945,18.172814947110574,93.83139656707912,-93.83139656707912,0.0,0.0,-36.12211922253127,0.0,78.73368493815887,0.0,-0.06560318373393517,0.0,0.0,-0.009451306146188854,-1.0032704460747413,-0.5254852326806391,0.0,-0.04940049001703431,0.0,0.29555716838910634,1.0,-10.0
198,5.092676890485053,-0.0002779794969135285,8.556466116727854,93.83139656707881,-93.83139656707881,9.616348830382636,0.0,-45.73846805291379,0.0,88.35003376854127,0.0,-0.06560318373390456,0.0,0.0,-0.009451306146188821,-1.0032704460747284,-0.5254852326806351,0.0,-0.04940049001702577,0.0,0.29555716838913093,1.0,-10.0
