M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.009701697430650651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4022644936258593,0.0,0.0,0.0,0.0,0.10518349458396443,-0.00313275025391543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37239263301574876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04671440953604269,0.0,0.0,0.0,-0.03079969548150395,0.0,-0.0029178592502481014,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007831781652280958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00313275025391543,0.022977038402923075
0.0,0.009783080981941562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40223386593772853,0.0,0.0,0.0,0.0,0.10505976967328068,-0.0031337319738791174,0.0,0.0,0.0,0.0,0.0,0.0,0.00015668659869395586,0.0,0.0,0.0,-0.3721959576884527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04672904857992309,0.0,0.0,0.0,-0.03088769057990254,0.0,-0.0029187736291308793,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007834235922738577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031337319738791174,0.0229842387909139
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31353391414666393,0.0,0.0,0.0,0.0,0.0,-0.005694243423447629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2945059076309064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1911867763928517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08491044536614094,0.0,0.0,0.0,-0.038348775648116326,0.0,-0.005303646795816239,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014235437731316368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017634290100755845,0.005694243423447629,0.04176421329872162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134892870388879,0.0,0.0,0.0,0.0,0.0,-0.005693432928622363,0.0,0.0,0.0,0.0,0.0,0.0,0.0002846716464311181,0.0,0.0,0.0,-0.2944639888901019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908748920192148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08489835956800015,0.0,0.0,0.0,-0.03834331724356514,0.0,-0.005302891896883512,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014233411518568048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01777411593277309,0.005693432928622363,0.04175826875504079
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31353391414666393,0.0,0.0,0.0,0.0,0.0,-0.005694243423447629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33285468327902273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11448922509661906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08491044536614094,0.0,0.0,0.0,0.0,0.0,-0.005303646795816239,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014235437731316368,0.0,0.07669755129623265,0.0,0.0,0.0,0.0,0.0,-0.017634290100755845,0.005694243423447629,0.04176421329872162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134892870388879,0.0,0.0,0.0,0.0,0.0,-0.005693432928622363,0.0,0.0,0.0,0.0,0.0,0.0,0.0002846716464311181,0.0,0.0,0.0,-0.33280730613366705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1141882575320845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08489835956800015,0.0,0.0,0.0,0.0,0.0,-0.005302891896883512,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014233411518568048,0.0,0.07668663448713028,0.0,0.0,0.0,0.0,0.0,-0.01777411593277309,0.005693432928622363,0.04175826875504079
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29119961661397065,0.0,0.0,0.0,0.0,0.0,-0.005288619275294486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3447611248676552,0.0,0.03561703618806262,0.0,0.0,0.0,0.0,0.0,0.14195072753786261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11447896474350286,0.0,0.0,0.0,0.0,0.0,-0.0049258464361056605,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013221389529657955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016378127803417013,0.005288619275294486,0.038789178305868546
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29116112060610433,0.0,0.0,0.0,0.0,0.0,-0.005287920130386291,0.0,0.0,0.0,0.0,0.0,0.0,0.0002643960065193145,0.0,0.0,0.0,-0.3447155481353461,0.0,0.03561232768699653,0.0,0.0,0.0,0.0,0.0,0.14166756592860152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11446383085294853,0.0,0.0,0.0,0.0,0.0,-0.004925195249042443,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013219641688361815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016508160650883928,0.005287920130386291,0.03878405045394843
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26321137907197595,0.0,0.0,0.0,0.0,0.0,-0.004780311145403175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16050109032590418,-0.2472373883487259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0712822263048172,0.0,0.0,0.0,-0.032193755343930174,0.0,-0.004452405702384244,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011950634454173576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1753050576383654,0.004780311145403175,0.035061011527673165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2632428386388633,0.0,0.0,0.0,0.0,0.0,-0.004780882498050433,0.0,0.0,0.0,0.0,0.0,0.0,0.00023904412490252164,0.0,0.0,0.16028122962234306,-0.2472669386712964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07129074610352128,0.0,0.0,0.0,-0.032197603207966934,0.0,-0.004452937863096663,0.0,0.0,0.0,0.0,0.0,0.0,-0.001195206281865114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1752064883979612,0.004780882498050433,0.03506520209208258
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813252089713856,0.0,0.0,0.0,0.0,0.0,-0.005109285307764168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10272797844832782,-0.29866119454871026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0761877669645301,0.0,0.0,0.0,0.0,0.0,-0.004758813882078086,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012773059990851187,0.0,0.06881856689963375,0.0,0.0,0.0,0.0,0.0,-0.11855073357566166,0.005109285307764168,0.037473860095059174
