,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
67,0.0,17.023046071829448,6.4362326217290775,-6.83275691689857e-06,0.0,0.0,0.0,6.599582310622251,-17.805400423144043,0.0,-2.500375296095749,0.0,0.0,-0.18717835165246374,0.30750947905687465,0.0,-0.05024025679275965,0.0,0.20096343873230815,1.0,-10.0
68,0.0,17.012997899892788,6.431208535760753,-6.832756916898552e-06,0.0,0.0,0.010048171936611566,6.594558224653927,-17.795352251207383,0.0,-2.5003752960957453,0.0,0.0,-0.18717835165246635,0.3075094790568762,0.0,-0.050240256792757974,0.0,0.20096343873230946,1.0,-10.0
69,0.0,4.1505808283712735,0.0,-6.8327569168985495e-06,6.436232621729061,0.0,0.0,13.03581493235129,-4.932935179685866,0.0,-2.500375296095742,0.0,0.0,-0.18717835165246557,0.3075094790568761,0.0,-0.050240256792759876,0.0,0.20096343873230796,1.0,-10.0
70,0.0,4.1505808283712815,0.0,-6.83275691689856e-06,6.431208535760764,0.0,0.010048171936615226,13.025766760414697,-4.932935179685874,0.0,-2.5003752960957466,0.0,0.0,-0.18717835165246627,0.3075094790568766,0.0,-0.050240256792759515,0.0,0.20096343873230782,1.0,-10.0
71,0.0,0.0,0.0,-6.832756916898552e-06,0.0,0.0,0.0,20.093690565751523,-0.782354351314591,0.0,-9.351036592272248,0.0,3.5289378167001124,-0.18717835165246463,0.10029514183315484,0.0,-0.05024025679275801,3.32172347947639,0.20096343873231023,1.0,-10.0
72,0.0,0.0,0.0,-6.832756916898565e-06,0.0,0.0,0.010048171936614577,20.080293003169405,-0.7823543513145944,0.0,-9.34712896985247,0.0,3.527263121377347,-0.18717835165246655,0.09973691005889716,0.0,-0.050240256792758724,3.3194905523793707,0.200963438732307,1.0,-10.0
73,0.0,0.0,0.0,-6.83275691689854e-06,0.0,0.0,0.0,23.652680008047618,-2.9177480166922662,2.1353936653776726,-13.147291997388104,0.0,4.240735705159329,-0.18717835165246363,0.3375611046528944,0.0,-0.05024025679275735,0.0,0.20096343873230704,1.0,-10.0
74,0.0,0.0,0.0,-6.8327569168985715e-06,0.0,0.0,0.01004817193661195,23.636890023575905,-2.91631256355848,2.133958212243885,-13.140832458286058,0.0,4.238582525458645,-0.1871783516524662,0.33684337808599746,0.0,-0.05024025679275726,0.0,0.20096343873231073,1.0,-10.0
75,0.0,13.804929760964857,0.0,-6.832756916898546e-06,0.0,3.525625789921402,0.0,16.253931243215813,-5.926974377004376,0.0,-5.718491606960269,-5.134683945353671,0.0,-0.18717835165246538,0.0,0.0,-0.05024025679275741,0.0,0.20096343873230632,1.0,-10.0
76,0.0,13.79739363201243,0.0,-6.832756916898562e-06,0.0,3.523113746937256,0.010048171936614274,16.241371028295084,-5.9257183555123145,0.0,-5.715979563976129,-5.130915880877449,0.0,-0.18717835165246408,0.0,0.0,-0.050240256792757156,0.0,0.20096343873230618,1.0,-10.0
77,0.0,3.53556187025752,0.0,-6.832756916898546e-06,0.0,0.10250315968562465,0.0,5.984563352508475,-4.215413061886488,0.0,-2.295368976724491,0.0,0.0,-0.18717835165246544,0.0,0.0,-0.05024025679276024,0.0,0.20096343873230824,1.0,-3.153754739528442
78,0.0,3.53556187025752,0.0,-6.832756916898546e-06,0.0,0.10250315968562465,0.010048171936613216,5.979539266540168,-4.215413061886488,0.0,-2.295368976724491,0.0,0.0,-0.18717835165246544,0.0,0.0,-0.05024025679276024,0.0,0.20096343873230824,1.0,-3.15877882549675
