M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-9.663666706826009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.28376066300396524,-0.28376066300396524,0.0028411937060958347,0.0,0.0,0.0025153577915088795,-0.14222692914192064,0.0,0.0,0.282562646708464,0.0,-2.2806261236908805e-05,0.0,0.0,0.0,-3.2856478105418126e-06,0.0,0.0,-0.0016064553816220626,0.0,0.0,0.0,0.0,-0.00018267944954100432,0.0,0.0,-1.7173564093003644e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001027473608607303,0.0003973023422487378
0.0,-1.0564106930466995e-07,0.0,0.0,0.0,0.0031059301848815946,0.0,0.0,0.2853534457800934,-0.2853534457800934,0.0,0.0,0.0,0.0027497335622216155,-0.13994968558725987,0.0,0.0,0.2809378706504852,0.0,-2.493130089230911e-05,0.0,0.0,0.0,-3.591797591891371e-06,0.0,0.0,-0.0017561415294354262,0.0,0.0,0.0,0.0,-0.0001997011380356131,0.0,0.0,-1.8773760825957406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011232114474615823,0.00043432214236817314
0.0,-3.4615196248085577e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2838649903213546,-0.2838649903213546,0.0,0.0,0.0,0.0,-0.13474758043792945,0.0031278558553280203,0.0,0.2834951302510469,0.0,-8.169189111655472e-05,0.0,0.0,0.0070492829780988055,-1.1769170772793839e-05,0.0,0.0,-0.001249315282831265,0.0,0.0,0.0,0.0,-0.0006543566938093453,0.0,0.0,-6.151560369300515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000368040431035851,0.0014231346096663072
0.0,-3.633302039308443e-07,0.0,0.0,0.0,0.0014078383236327495,0.0,0.0,0.284577695673793,-0.284577695673793,0.0,0.0,0.0,0.0,-0.1326356148886697,0.0022272010284769867,0.0,0.28348556165452593,0.0,-8.574595748685289e-05,0.0,0.0,0.0070471532354477754,-1.2353231183002785e-05,0.0,0.0,-0.0013113141789860804,0.0,0.0,0.0,0.0,-0.0006868299959975275,0.0,0.0,-6.456839555241485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00038630491621276616,0.0014937595160382738
0.0,-3.4612414655142627e-07,0.0,0.003320811871482957,0.0,0.006855509151830772,0.0,0.0,0.2873784339619196,-0.2873784339619196,0.0,0.0,0.0,0.0007072428393784968,-0.12728248015179794,0.0,0.0,0.28287360619737323,0.0,-8.168532655496166e-05,0.0,0.0,0.0,-1.176822503086791e-05,0.0,0.0,-0.0016028363105842856,0.0,0.0,0.0,0.0,-0.0006543041112976464,0.0,0.0,-6.151066044877543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00036801085620234854,0.0014230202500319215
0.0,-3.8446330410694e-07,0.0,0.004474230528817574,0.0,0.004472545587871879,0.0,0.0,0.28621605469052286,-0.28621605469052286,0.0,0.0,0.0,0.0,-0.1284190836039534,0.00235674616933752,0.0,0.2835689865231659,0.0,-9.073337083608771e-05,0.0,0.0,0.0,-1.3071756836153706e-05,0.0,0.0,-0.0013875867641084617,0.0,0.0,0.0,0.0,-0.0007267794605681249,0.0,0.0,-6.832401607792083e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004087743404569353,0.0015806440336200867
0.0,-3.999204856994117e-07,0.0,0.00416381541378067,0.0,0.007594160118481399,0.0,0.0,0.28791725538821944,-0.28791725538821944,0.0,0.0,0.0,0.0,-0.12426642465303514,0.0,0.0,0.28369286410445704,0.0,-9.438126694094036e-05,0.0,0.0,0.0,-1.3597301191078302e-05,0.0,0.0,-0.001443374092467292,0.0,0.0,0.0,0.0,-0.00075599931583045,0.0,0.0,-7.107095372414577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004252089367975738,0.0016441931463695486
0.0,-3.979692439811819e-07,0.0,0.004143499849480012,0.0,0.005117570554881434,0.0,0.0,0.28651248573974997,-0.28651248573974997,0.0024395370930015083,0.0,0.0,0.0,-0.12609965664132514,0.0,0.0,0.28474824266745324,0.0,-9.392077373776655e-05,0.0,0.0,0.0,-1.3530958949837604e-05,0.0,0.0,-0.0014363317631919893,0.0,0.0,0.0,0.0,-0.0007523107390839458,0.0,0.0,-7.072419326845566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00042313431085038697,0.0016361710060322939
0.0,-3.814071129487796e-07,0.0,0.00023024250532572484,0.0,0.017997460850510866,0.0,0.0,0.28861687817425064,-0.28861687817425064,0.0,0.0,0.0,0.0,-0.12342362935275797,0.0,0.0,0.2733655883168969,0.0,-9.001210947580401e-05,0.0,0.0,0.0,-1.296784630103235e-05,0.0,0.0,-0.0025455624175575015,0.0,0.0,0.0,0.0,-0.000721002116052813,0.0,0.0,-6.778089206167071e-05,0.0,0.0,0.0,0.0023380118279119093,0.0,0.0,0.0004055248950309556,0.0015680791145025914
0.0,-3.2309096629548583e-07,0.0,0.0013833606034847038,0.0,0.012076838788716503,0.0,0.0,0.2880599059211752,-0.2880599059211752,0.0,0.0,0.0,0.0,-0.12713059020915518,0.0,0.0,0.27771519500096387,0.0,-7.624949415334606e-05,0.0,0.0009902679775033163,0.0,-1.0985096632779748e-05,0.0,0.0,-0.002156352604164924,0.0,0.0,0.0,0.0,-0.0006107627846150758,0.0,0.0,-5.741737154103929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003435212027889532,0.0013283239329635922
